Global Temperature Anomalies (deg C) AIRS v6 vs. 2007-2016
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2019,  0.183,  0.245,  0.399,  0.230,  0.159,  0.237,  0.274,  0.208,  0.231,  0.319,  0.243,  0.353,  0.257,  0.237,  0.181,  0.263,  0.240,  0.264
2020,  0.324,  0.389,  0.277,  0.333,  0.276,  0.263,  0.248,  0.231,  0.254,  0.187,  0.330,  0.046,  0.263,  0.289,  0.355,  0.295,  0.247,  0.257
2021,  0.103,  0.070,  0.066,  0.078,  0.096,  0.118,  0.204,  0.128,  0.173,  0.187,  0.158,  0.212,  0.133,  0.119,  0.073,  0.080,  0.150,  0.173
2022,  0.233,  0.191,  0.270,  0.199,  0.110,  0.269,  0.230,  0.153,  0.167,  0.186, -0.073,  0.118,  0.171,  0.179,  0.212,  0.193,  0.217,  0.093
2023,  0.118,  0.223,  0.406,  0.203,  0.238,  0.464,  0.590,  0.525,  0.677,  0.538,  0.530,  0.567,  0.423,  0.386,  0.153,  0.282,  0.526,  0.581
2024,  0.482,  0.607,  0.472,  0.056,  0.399,  0.490,  0.444,  0.492,  0.457,  0.346,  0.227,  0.358,  0.403,  0.420,  0.552,  0.309,  0.475,  0.343
2025,  0.484,  0.387,  0.353,  0.274,  0.123,  0.108,  0.070,  0.067,  0.187,  0.005, -0.074, -0.138,  0.154,  0.195,  0.410,  0.250,  0.082,  0.039
2026,  0.127,  0.087,  0.016, -0.107, -0.079,  0.000,  0.041,  0.116,*******,*******,*******,*******,*******,*******,  0.026, -0.057,  0.052,*******
Global Temperature Anomalies (deg C) GHCNv4/ERSSTv5 vs. 2007-2016
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2002,  0.048,  0.098,  0.091, -0.154, -0.071, -0.142, -0.048, -0.181, -0.081, -0.210, -0.187, -0.238, -0.090, -0.080,  0.007, -0.045, -0.123, -0.159
2003,  0.025, -0.107, -0.192, -0.182, -0.109, -0.191, -0.084, -0.074, -0.098, -0.029, -0.249,  0.066, -0.102, -0.127, -0.107, -0.161, -0.116, -0.125
2004, -0.144,  0.038, -0.160, -0.125, -0.345, -0.227, -0.406, -0.265, -0.219, -0.142, -0.047, -0.175, -0.185, -0.165, -0.013, -0.210, -0.299, -0.136
2005,  0.027, -0.087, -0.047, -0.063, -0.087, -0.019, -0.048, -0.118, -0.002,  0.011, -0.032, -0.004, -0.039, -0.053, -0.078, -0.065, -0.062, -0.008
2006, -0.160,  0.051, -0.159, -0.264, -0.232, -0.002, -0.120, -0.006, -0.061, -0.046, -0.042,  0.110, -0.078, -0.087, -0.038, -0.218, -0.043, -0.049
2007,  0.291,  0.017, -0.075,  0.038, -0.025, -0.061, -0.065, -0.118, -0.114, -0.160, -0.186, -0.185, -0.054, -0.029,  0.139, -0.021, -0.081, -0.153
2008, -0.425, -0.306, -0.043, -0.194, -0.216, -0.172, -0.062, -0.261, -0.115, -0.083, -0.081, -0.144, -0.175, -0.179, -0.305, -0.151, -0.165, -0.093
2009, -0.075, -0.155, -0.257, -0.124, -0.060, -0.033,  0.074, -0.029, -0.003, -0.101,  0.023, -0.007, -0.062, -0.074, -0.125, -0.147,  0.004, -0.027
2010,  0.024,  0.153,  0.132,  0.120,  0.041,  0.008, -0.030, -0.048, -0.095, -0.039,  0.038, -0.226,  0.006,  0.025,  0.057,  0.098, -0.023, -0.032
2011, -0.197, -0.212, -0.135, -0.091, -0.183, -0.046,  0.043,  0.029, -0.165, -0.101, -0.180, -0.080, -0.110, -0.122, -0.212, -0.136,  0.009, -0.149
2012, -0.251, -0.201, -0.223, -0.004,  0.071, -0.017, -0.074, -0.059, -0.003,  0.047,  0.005, -0.154, -0.072, -0.066, -0.177, -0.052, -0.050,  0.016
2013, -0.011, -0.066, -0.117, -0.201, -0.113,  0.032, -0.061, -0.011,  0.044, -0.057,  0.059,  0.018, -0.040, -0.055, -0.077, -0.144, -0.014,  0.015
2014,  0.042, -0.137, -0.012,  0.076,  0.152,  0.005, -0.078,  0.118,  0.157,  0.052, -0.101,  0.108,  0.032,  0.024, -0.026,  0.072,  0.015,  0.036
2015,  0.143,  0.228,  0.168,  0.020,  0.086,  0.148,  0.072,  0.081,  0.114,  0.324,  0.285,  0.491,  0.180,  0.148,  0.159,  0.091,  0.100,  0.241
2016,  0.460,  0.680,  0.563,  0.360,  0.247,  0.138,  0.181,  0.298,  0.181,  0.117,  0.139,  0.180,  0.295,  0.321,  0.543,  0.390,  0.206,  0.146
2017,  0.301,  0.448,  0.375,  0.204,  0.199,  0.041,  0.157,  0.158,  0.020,  0.132,  0.097,  0.250,  0.198,  0.193,  0.310,  0.259,  0.118,  0.083
2018,  0.104,  0.161,  0.092,  0.152,  0.100,  0.102,  0.175,  0.068,  0.083,  0.268,  0.059,  0.247,  0.134,  0.134,  0.172,  0.115,  0.115,  0.137
2019,  0.213,  0.270,  0.381,  0.274,  0.151,  0.236,  0.277,  0.235,  0.211,  0.249,  0.215,  0.436,  0.262,  0.246,  0.243,  0.268,  0.249,  0.225
2020,  0.457,  0.553,  0.390,  0.386,  0.282,  0.247,  0.230,  0.148,  0.241,  0.119,  0.311,  0.123,  0.291,  0.317,  0.482,  0.353,  0.208,  0.224
2021,  0.097, -0.043,  0.102,  0.030,  0.077,  0.181,  0.261,  0.095,  0.203,  0.233,  0.151,  0.201,  0.132,  0.126,  0.059,  0.070,  0.179,  0.196
2022,  0.194,  0.206,  0.256,  0.102,  0.128,  0.259,  0.281,  0.227,  0.162,  0.221, -0.044,  0.118,  0.176,  0.183,  0.200,  0.162,  0.256,  0.113
2023,  0.156,  0.280,  0.440,  0.253,  0.227,  0.418,  0.530,  0.479,  0.760,  0.596,  0.624,  0.676,  0.453,  0.407,  0.185,  0.307,  0.476,  0.660
2024,  0.531,  0.752,  0.606,  0.584,  0.445,  0.567,  0.540,  0.586,  0.492,  0.600,  0.521,  0.589,  0.568,  0.575,  0.653,  0.545,  0.564,  0.537
2025,  0.659,  0.575,  0.584,  0.513,  0.368,  0.401,  0.360,  0.460,  0.530,  0.442,  0.437,  0.378,  0.476,  0.493,  0.608,  0.488,  0.407,  0.470
2026,  0.367,  0.561,  0.533,  0.441,  0.422,  0.515,  0.587,  0.687,*******,*******,*******,*******,*******,*******,  0.435,  0.466,  0.596,*******
